index,Headline,Date,pred_score,Headline_x,Headline_y
6651,Bitcoin Up 95% Since Famous Wealth Manager Warned Not to Buy It,07-Feb-20,0.7,,
6652,Ethereum Breaks out From an Ascending Channel: What’s Next?,07-Feb-20,0.1,,
6653,Wikipedia Founder Says Bitcoin SV ‘Offers Nothing’,07-Feb-20,-0.6,,
6654,Bitcoin Analysis for 2020-02-07 [Premium Analysis],07-Feb-20,0.1,,
6655,5 Reasons Why Bitcoin is Primed to Explode to New Highs,07-Feb-20,0.9,,
6656,Ethereum Classic Targets Previous Breakdown Level: Will It Successfully Break Out?,07-Feb-20,0.1,,
6657,Bitcoin Mining Company Hut 8’s Stock Falls as CEO Steps Down,07-Feb-20,-0.7,,
6658,Litecoin Aims to Break out Above Significant Resistance,07-Feb-20,0.3,,
6659,MATIC Shows Signs Of Life After Rapid Decrease,07-Feb-20,0.3,,
6660,Fed Has Doubled Money Supply Since 2008 – Ticking Time Bomb for Bitcoin to Solve?,06-Feb-20,0.2,,
6661,Ravencoin’s Breakout Could Lead to a Massive Increase,06-Feb-20,0.8,,
6662,Ethereum Founder Claims TRON’s ‘Scamminess’ Prevents It From Recruiting R&D Talent,06-Feb-20,-0.8,,
6663,"Ripple Unlocks Another 100,000,000 XRP as Traders Fear Sell-Off",06-Feb-20,-0.5,,
6664,Bitcoin’s Big January Was Tiny Compared to Altcoin Boom,06-Feb-20,0.4,,
6665,Bitcoin Dominance Rate’s Sharp Decrease Suggests Altseason Has Begun,06-Feb-20,0.3,,
6666,Bitcoin More Appealing Than Housing Market for Millennials,06-Feb-20,0.5,,
6667,NANO Has the Potential to Gain 500% this Year,06-Feb-20,0.9,,
6668,Potential US Dollar Digital Currency Being Examined by Federal Reserve Governor,06-Feb-20,0.1,,
6669,Bitcoin Analysis for 2020-02-06 [Premium Analysis],06-Feb-20,0.1,,
6670,Ripple CEO Berates Bitcoin Performance in Shameless XRP Shill,06-Feb-20,-0.4,,
6671,BitMEX CEO Calls Ripple’s XRP ‘Dogsh*t’ Right After Listing It,06-Feb-20,-0.8,,
6672,Bitcoin Could Help Mexican Families Save More After Record-Breaking Year in Remittance Industry,06-Feb-20,0.4,,
6673,Enjin Coin Fractal Predicts 500% Price Increase,06-Feb-20,0.8,,
6674,Yahoo Finance and Investing.com Falsely Claim Bitcoin Is Down -56%,05-Feb-20,-0.3,,
